Card#,Artist,Title,Album,URL
53,"Naughty Boy, Sam Smith",La La La,Hotel Cabana (Deluxe Version),spotify://track:3wPPWcVuinAU7dXcJXtCID
54,Kool & The Gang,Fresh,Emergency (Reissue),spotify://track:1mMYaXpT65iZDtvfRA9EkE
55,Rudi Carrell,Wann wird's mal wieder richtig Sommer,Das Beste von Rudi Carrell,spotify://track:2JHRPXa7cVtsRjMb30a9KE
56,Revolverheld,Helden 2008,Helden 2008,spotify://track:4iyshfXSQnB0yhQr4Uoyqp
57,Ibo,Ratzfatz nach Mallorca,Lieblingsschlager,spotify://track:6G2lRHL7CJjHEaf6AGK9Q5
58,Alvaro Soler,Sofia,Eterno Agosto,spotify://track:6t9jpM1Xtmp5E8D77FbMlz
59,Massive Töne,Cruisen,MT3,spotify://track:6e5kuZssmkwWL3Yt4jwTRy
60,"Kungs, Cookin' On 3 Burners",This Girl (Kungs Vs. Cookin' On 3 Burners),Layers,spotify://track:1A8j067qyiNwQnZT0bzUpZ
61,Gerry Rafferty,Baker Street,City to City,spotify://track:5gOd6zDC8vhlYjqbQdJVWP
62,Ike & Tina Turner,Nutbush City Limits,Tina!,spotify://track:06yREZ9X92R2e9RJpdzZ2O
63,Queen,I Want To Break Free,Bohemian Rhapsody (The Original Soundtrack),spotify://track:7iAqvWLgZzXvH38lA06QZg
64,Kenny Loggins,Footloose,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",spotify://track:6W2VbtvMrDXm5vYeB7amkO
65,Justin Timberlake,CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),TROLLS (Original Motion Picture Soundtrack),spotify://track:6JV2JOEocMgcZxYSZelKcc
66,Avicii,Wake Me Up,True,spotify://track:0nrRP2bk19rLc0orkWPQk2
67,Gwen Stefani,Hollaback Girl,Love. Angel. Music. Baby. (Deluxe Version),spotify://track:0LzrhCZFXW94Y8nwtTuRlw
68,No Mercy,Where Do You Go,My Promise,spotify://track:37tzoWY1ubBQKGXiWdO5Qv
69,Bata Illic,Bella Isola - Radio,Bella Isola,spotify://track:0tRdzXtsvcdVcUCvLYa6Ow
70,Level 42,Lessons In Love,Running In The Family,spotify://track:3EGI5qmVmGlfgy9BmNb1R8
71,CRO,Whatever,Whatever (Maxi Edition),spotify://track:3jtWarFX9mNJpamfDTeP5J
72,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],spotify://track:2Foc5Q5nqNiosCNqttzHof
73,Bananarama,Venus,True Confessions (Collector's Edition),spotify://track:4XX1pFUkQOZTYp6Hb6a6Ae
74,The Turtles,Happy Together,Happy Together,spotify://track:1JO1xLtVc8mWhIoE3YaCL0
75,Technotronic,Pump Up The Jam,Pump Up The Jam,spotify://track:21qnJAMtzC6S5SESuqQLEK
76,Ritchie Valens,La Bamba - Single Version,Ritchie Valens,spotify://track:2aEeghgUcnu75tzcolFMfs
77,Glass Animals,Heat Waves,Dreamland,spotify://track:3USxtqRwSYz57Ewm6wWRMp
78,"Nana Darkman, Booya Family, Nana",Lonely - 2021 Remastered,Nana,spotify://track:5TxlsxGp0CYnntNNIBzSrq
79,Miami Sound Machine,Conga!,Primitive Love,spotify://track:3FdHgoJbH3DXNtGLh56pFu
80,MC Miker & DJ Sven,Holiday Rap - Version 1986,Holiday Rap: Best of Collector Mc Miker & DJ Sven (Original Version),spotify://track:3aw4e1M2m0GenqjgG6GKRd
81,Earth & Fire,Weekend,Reality Fills Fantasy,spotify://track:1bZr5vH0cfmKu5ODpD0DEO
82,Thomas Godoj,Love Is You - Radio Version,Plan A!,spotify://track:0ydk0oiUuGNyeUFeWlkjUS
83,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,Strandbikini,"So wie damals - Rock 'n' Roll aus Deutschland, Vol.3",spotify://track:1rvr5N1PGjoE7rsJZCdomp
84,Arrested Development,People Everyday,"3 Years, 5 Months And 2 Days In The Life Of...",spotify://track:6JvodgYcsthsORxPsEYUoe
85,Jonas Brothers,Sucker,Happiness Begins,spotify://track:22vgEDb5hykfaTwLuskFGD
86,"Katy Perry, Snoop Dogg",California Gurls,Teenage Dream: The Complete Confection,spotify://track:6tS3XVuOyu10897O3ae7bi
87,Jennifer Lopez,Let's Get Loud,On The 6,spotify://track:42nSaPdT6g3ZIMHmKLlP2p
88,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),spotify://track:7ef4DlsgrMEH11cDZd32M6
89,Lou Bega,Mambo No. 5 (a Little Bit of...),A Little Bit of Mambo,spotify://track:6x4tKaOzfNJpEJHySoiJcs
90,"Stan Getz, João Gilberto, Astrud Gilberto, Antônio Carlos Jobim",The Girl From Ipanema - Single Version,Getz/Gilberto (Expanded Edition),spotify://track:4qGfJb2KByjvzrwo8HNibg
91,Tracy Chapman,Talkin' Bout a Revolution,Tracy Chapman,spotify://track:0YMFcrMtBowDdD5bPz0cgy
92,Members Of Mayday,Sonic Empire - Short Mix,Sonic Empire,spotify://track:19iYbGg080uoVvudEvrN43
93,Zucchero,Senza Una Donna,Blue's,spotify://track:3ShEGKdskF0ke7iW2u9gjD
94,Fleetwood Mac,Don't Stop,Greatest Hits,spotify://track:6l6vgKIgXLnqgSMqf4nGNc
95,Mr. President,Coco Jamboo,We See The Same Sun,spotify://track:5fRvePkRGdpn2nKacG7I6d
96,Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",Almost Famous,spotify://track:1AjQE5MtP5jHQMyDepbvLI
97,Sunshine Boys,Ö La Palöma,Anton Feten Mallorca-Mix,spotify://track:0nGmTuzTGYGOcFRWoPoIGz
98,Maite Kelly,Jetzt oder nie,Sieben Leben für dich,spotify://track:5Q5mE6WAW410uleWj0Qjz7
99,B 3,I.O.I.O. - Radio Edit,I.O.I.O.,spotify://track:3b2lYcUl4Scnm4CnltLMvY
100,ABBA,SOS,ABBA Gold,spotify://track:5pMmWfuL0FTGshYt7HVJ8P
101,Gusttavo Lima,Balada,Caribe 2012: Ai Se o Verão Te Pega!,spotify://track:0zZnBbRW4Dt4cJKVtUQFwF
102,Cher,The Shoop Shoop Song (It's In His Kiss),Love Hurts,spotify://track:5oV1YjM2rtyZ55txHHsFUu
103,"Rihanna, JAY-Z",Umbrella - Radio Edit,Umbrella,spotify://track:113v1MA9MTShy98uCz37nO
104,Bellini,Samba de Janeiro - Radio Edit,Samba de Janeiro,spotify://track:4YopUHLBgDj3l17HYm2OoX
105,The Supremes,Stop! In The Name Of Love,More Hits By The Supremes,spotify://track:52FlwUMMDnTK8TGkCag9Jd
106,Desireless,Voyage voyage,François,spotify://track:2d8D7uk3tbAThjRkdfrx9c
107,Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,Hijas del Tomate,spotify://track:6UEfyhyfhYQsyipxOd95Ie
