Card#,Artist,Title,Album,URL
225,Sean Paul,Get Busy,Dutty Rock (20th Anniversary),spotify://track:6bK9BH9Ts8Gj5JFvnQkzak
226,The KLF,Justified & Ancient,Solid State Logik 1,spotify://track:7E81YAfHOaSlnevLjKMghT
227,Ike & Tina Turner,Nutbush City Limits,Nutbush City Limits,spotify://track:2ktaHXmUWb5fcHqoevvHgg
228,Patricia Paay,Who's That Lady With My Man,Hollands Glorie,spotify://track:1BQ1iEiTtOVxWc2MAVSDS8
229,"Nielson, Miss Montreal",Hoe,Hoe,spotify://track:0i4b99kb0hqaHALhoq4U3k
230,"Corry en de Rekels, Corry Konings",Huilen Is Voor Jou Te Laat,Huilen Is Voor Jou Te Laat / Adio Adio Adio,spotify://track:0zrx7g0WrWjDzhwfI77gTr
231,T-Spoon,Sex on the Beach - Radio Mix,The Hit Collection,spotify://track:0IprUQmGWvCtnbcpHj9UIi
232,Cascada,Evacuate the Dancefloor,Back On the Dancefloor,spotify://track:4Zfq7r0v4FKeoxwhyLYSyb
233,Bananarama,Venus,True Confessions (Collector's Edition),spotify://track:4XX1pFUkQOZTYp6Hb6a6Ae
234,Jamai,Step Right Up,Jamai,spotify://track:6WIXNPvx4ikJtmkutBZctv
235,Miami Sound Machine,Conga,Greatest Hits,spotify://track:53pZ8y3yMYUNpclGwIufu0
236,LMFAO,Sexy And I Know It,Sorry For Party Rocking,spotify://track:70Vdd1gx5tn84jkAU31ASv
237,Cutting Crew,(I Just) Died In Your Arms,Broadcast,spotify://track:4ByEFOBuLXpCqvO1kw8Wdm
238,De Electronica's,Vogeltjesdans,Het Beste van De Electronica's,spotify://track:02CjqZszeTgivtiO52ry9g
239,Bloodhound Gang,The Bad Touch,Hooray For Boobies,spotify://track:5EYdTPdJD74r9EVZBztqGG
240,Arne Jansen,Meisjes Met Rode Haren,Heerlijk Hollands - Grootste Hollandse Hits,spotify://track:6sALEclp6XZPDkxyFKQmq7
241,Charly Lownoise & Mental Theo,Wonderfull Days - Radio Edit,The Best Of Charly Lownoise & Mental Theo,spotify://track:5RFvmMTrWWMkUxfhrnckOJ
242,Michel Teló,Ai Se Eu Te Pego,Na Balada,spotify://track:0dwUYijG4c54dux9vho9ey
243,Mel & Kim,Respectable,F.L.M. (Deluxe Edition),spotify://track:71ucHTKi9couPlPaPxDu57
244,Michael Gray,The Weekend - Radio Edit,Analog Is On,spotify://track:6KzkqZqhUBEsWYJJa2aBOd
245,Lesley Gore,It's My Party,I'll Cry If I Want To,spotify://track:1Pq47iFLC5U7j8xeNiNcuS
246,Katy Perry,I Kissed A Girl,One Of The Boys,spotify://track:14iN3o8ptQ8cFVZTEmyQRV
247,Mart Hoogkamer,Ik Ga Zwemmen,Ik Ga Zwemmen,spotify://track:1f9X68h6QGh01bD0r4g9DF
248,The 5th Dimension,Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical "Hair",The Age Of Aquarius,spotify://track:0HZlND4giwzgolBpaNIRGV
249,Frans Bauer,Heb Je Even Voor Mij,Bauer Top100,spotify://track:4tdZ0T8V5QK1l7PvydjXay
250,De La Soul,Ring Ring Ring (Ha Ha Hey),De La Soul is Dead,spotify://track:1zRW3vr3uw0tdG7iLWUZpn
251,The Darkness,I Believe in a Thing Called Love,Permission to Land,spotify://track:756CJtQRFSxEx9jV4P9hpA
252,Depeche Mode,Enjoy the Silence,The Singles 86-98,spotify://track:6WK9dVrRABMkUXFLNlgWFh
253,Meghan Trainor,Made You Look,Takin' It Back,spotify://track:0QHEIqNKsMoOY5urbzN48u
254,Kungs,Never Going Home,Never Going Home,spotify://track:0xfMlIW8lS40qvpsUw1l0X
255,People's Choice,Do It Any Way You Wanna,Boogie Down U.S.A.,spotify://track:2Ede3F4IK319I9ZDpXmv8K
256,Paradisio,Bailando,Tarpeia,spotify://track:6PwbVXIomkvk4YcafiOc6i
257,MEROL,LEKKER MET DE MEIDEN,LEKKER MET DE MEIDEN,spotify://track:6q05J9erHFY3nAw6eG4jmd
258,Midnight Oil,Beds Are Burning - Remastered,Diesel And Dust,spotify://track:1CtAzw53AIXKjAemxy4b1j
259,INNA,Hot,Hot,spotify://track:7F1lHcpnTycnimQrCxDFI5
260,Luv',You`re The Greatest Lover,With Luv`,spotify://track:2EUIquZNqjT86ip1gP9LSv
261,Manfred Mann,Do Wah Diddy Diddy,Groovin' with Manfred Mann,spotify://track:0Edz7VB0AliCkoEL2XRYIi
262,Mr. President,Coco Jamboo,We See The Same Sun,spotify://track:5fRvePkRGdpn2nKacG7I6d
263,Panjabi MC,Mundian To Bach Ke,The Album,spotify://track:2LxAeJ9KUj1GRS9oeHgQ3i
264,Infernal,From Paris to Berlin,From Paris to Berlin,spotify://track:5ClXLJW6OLZuTLCwhmX9h9
265,Koos Alberts,Zijn Het Je Ogen,Het Leven Gaat Door,spotify://track:1kNYqojoCcL50GzXQKCLL6
266,Kid Rock,All Summer Long,All Summer Long,spotify://track:7t00jJDygiHzPabOYS6AGb
267,"Bob Sinclar, Gary Pine",Love Generation - Edit,Love Generation (Edit),spotify://track:7iee007QypdrTXbLVF5KuF
268,OBZ,Ik Ben Kachel,Ik Ben Kachel,spotify://track:0rEuuYpZ2yWU6ppTJpe9wT
269,"Roger Glover, Ronnie Dio",Love Is All,The Butterfly Ball and the Grasshopper's Feast,spotify://track:7jruu0eifvOgwBajru3E45
270,Hot Chocolate,You Sexy Thing,Hot Chocolate,spotify://track:714hERk9U1W8FMYkoC83CO
271,La Roux,Bulletproof,La Roux,spotify://track:3kMrazSvILsgcwtidZd1Qd
272,Beastie Boys,Fight For Your Right,Licensed To Ill,spotify://track:5NLuC70kZQv8q34QyQa1DP
273,Barbra Streisand,Woman in Love,Guilty,spotify://track:1pTGc8pwyo6xtgXBKCBcFn
274,Bee Gees,Stayin Alive,How Can You Mend A Broken Heart,spotify://track:5ubvP9oKmxLUVq506fgLhk
275,Dead Or Alive,You Spin Me Round (Like a Record),Evolution: The Hits,spotify://track:1ChulFMnwxoD74Me8eX2TU
276,Olivia Newton-John,Physical,Good Luck Chuck (Original Motion Picture Soundtrack),spotify://track:5FFAqdNj7SAzVCOpPp3QZI
277,BLØF,Alles Is Liefde,Hier - Het Beste Van 20 Jaar BLØF,spotify://track:5XzqHEfSlgeaAZWLBsJXpF
278,The Isley Brothers,Twist And Shout,Twist & Shout,spotify://track:7iFdUmdqT9XrsJdSGf9KrX
279,Tenpole Tudor,Wünderbar - Single Version,Wünderbar (The Stiff Records Singles Collection),spotify://track:4BFGbzW1hvoGZJ8lbBxCjP
280,Maywood,Rio,Het Beste Van Maywood,spotify://track:4DFLe29ryqXWs4AXYPm7pB
281,The Nolans,I'm in the Mood for Dancing,Altogether,spotify://track:4aGVpNl4csfQ2W1i4Ao40q
282,FLEMMING,Automatisch,Automatisch,spotify://track:2WeAyT93f7IzrwXm3ZJMb2
283,"Bizzey, Kraantje Pappie, Chivv, Yung Felix",JA!,November,spotify://track:1YQ3SYZoB4X6EfWhpkirVc
284,Donna Summer,Hot Stuff,Bad Girls,spotify://track:2zMJN9JvDlvGP4jB03l1Bz
285,One Direction,One Way or Another (Teenage Kicks),One Way Or Another (Teenage Kicks),spotify://track:3jZomvOBa5qfTo5HkqI1p5
286,Irene Cara,Flashdance...What a Feeling - Radio Edit,What a Feelin',spotify://track:3cbV252akVZInSvJk7jAYX
287,"Damaru, Jan Smit",Mi Rowsu (Tuintje In Mijn Hart),Mi Rowsu (Tuintje In Mijn Hart),spotify://track:1D6GCvw4E7fzqmFA8m4EFR
288,Scatman John,Scatman (ski-ba-bop-ba-dop-bop),Scatman's World,spotify://track:623rRTKwGmgjH6sjE9uWLh
289,Culture Club,Karma Chameleon - Remastered 2002,Colour By Numbers (Remastered / Expanded Edition),spotify://track:2wSAWEYUHkt92X4SBAPqZE
290,"Donnie, Frans Duijts",Frans Duits,Frans Duits,spotify://track:6iSm0u8DL5MqeptlsoeS90
291,"Kav Verhouzer, De Hofnar",Wereldbol,Wereldbol,spotify://track:0z7AaRGYVEhlTD4d3uqodb
292,"Stefan en Sean, Bram Krikke",Frikandel Speciaal,Frikandel Speciaal,spotify://track:6VCajmKNB1XQYh67fsLrEV
293,Crystal Fighters,Plage,Star of Love,spotify://track:6y4sVRatVOlBRref1xUqTO
294,The Opposites,Hey DJ,Slapeloze Nachten,spotify://track:2qqpCsJmcWRuKJytvLNBk4
295,Samantha,Eviva Espana,18 Originele Geheime Zenderhits. Deel 21,spotify://track:6xkW8jssGNv2j4hXrEp9nP
296,Nick & Simon,Rosanne,Vandaag,spotify://track:2O3kmOZ0N8A3PtBW4DWqFm
297,Village People,YMCA,Can't Stop the Music (Original Soundtrack 1980),spotify://track:3ypMsqUwfNFMiooMLVHfkp
298,The Weather Girls,It's Raining Men,Success,spotify://track:2IvetNzSZMH5gwjInoyr18
299,Enrique Iglesias,Not In Love,7,spotify://track:3B2km86Z77cAoOr9e5JHEN
300,Harold Faltermeyer,Axel F,Harold F,spotify://track:2kgqupahrJpYB4r1poTXEY
301,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),TRANSLATION,spotify://track:5NyS3oxTlos3Agl2YtZwrC
302,Gerard Cox,De Goeie Ouwe Tijd,Grootste Hits,spotify://track:10blxe02ohtJg111sJJoFO
303,The Beach Boys,Good Vibrations,The Smile Sessions,spotify://track:6aU6a9tdn2vHhnPGlboFZX
304,Drukwerk,Je Loog Tegen Mij,Drukwerk,spotify://track:53348QPO1Bhkd8oFABaGYK
305,Henk Wijngaard,Met De Vlam In De Pijp,Zingende Wielen,spotify://track:7BBVqpncgLQxUX2vU0GAM7
306,Spargo,You And Me,Just For You And Me - The Greatest Hits Collection,spotify://track:7vdCyoiMaAaC3cVXqrtXNj
307,ABBA,"Money, Money, Money",Arrival,spotify://track:3lKN03PDeBnXZS7sDukRBt
308,"Icona Pop, Charli xcx",I Love It (feat. Charli XCX),THIS IS... ICONA POP,spotify://track:2U8NXPTXZWG2O0ye2sYRiH
